form,reason,interaction_pages
tetramisole hydrochloride s,"names a class or a group, not this page's substance (no variant of 'levamisole' and no UNII name for it)",0
thallous,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
theracys,"names a class or a group, not this page's substance (no variant of 'benzoylecgonine' and no UNII name for it)",0
thiamini mononitras,"names a class or a group, not this page's substance (no variant of 'thiamine ion' and no UNII name for it)",0
thoracic spinal cord drops,"names a class or a group, not this page's substance (no variant of 'bos taurus spinal cord' and no UNII name for it)",0
throat drops,"names a class or a group, not this page's substance (no variant of 'bovine type ii collagen nasal septum' and no UNII name for it)",0
thuja occidentalis,ambiguous: 3 pages carry this name and they are not forms of one substance,0
thuja occidentalis 6x hpus,"names a class or a group, not this page's substance (no variant of 'thuja occidentalis whole' and no UNII name for it)",0
thuja occidentalis cm hpus,"names a class or a group, not this page's substance (no variant of 'thuja occidentalis leafy twig' and no UNII name for it)",0
thymic peptides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
thymus satureioides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
thyroid gland preparations,"names a class or a group, not this page's substance (no variant of 'sus scrofa thyroid' and no UNII name for it)",0
tiludronate disodium anhydrous,"names a class or a group, not this page's substance (no variant of 'tiludronic acid' and no UNII name for it)",0
timolol eye drops,"names a class or a group, not this page's substance (no variant of 'timolol anhydrous' and no UNII name for it)",0
timololi maleas,"names a class or a group, not this page's substance (no variant of 'timolol anhydrous' and no UNII name for it)",0
tocas,"names a class or a group, not this page's substance (no variant of 'tamsulosin' and no UNII name for it)",0
tocopherols,ambiguous: 2 pages carry this name and they are not forms of one substance,0
tonsil drops,"names a class or a group, not this page's substance (no variant of 'bos taurus tonsil' and no UNII name for it)",0
toothed clubmoss,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
torrent s nebivolol tablets,"names a class or a group, not this page's substance (no variant of 'nebivolol' and no UNII name for it)",0
torrent s quetiapine fumarate tablets,"names a class or a group, not this page's substance (no variant of 'quetiapine' and no UNII name for it)",0
toyolysom ds,"names a class or a group, not this page's substance (no variant of 'lysozyme' and no UNII name for it)",0
trailing arbutus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
trametes,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
triamcinolone usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
tribenzor 40 10 25 mg tablets,"names a class or a group, not this page's substance (no variant of 'olmesartan medoxomil' and no UNII name for it)",0
tribulus alatus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
tribulus terrestris,"names a class or a group, not this page's substance (no variant of 'creatine' and no UNII name for it)",0
trichopus zeylanicus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
trichosanthes,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
trichosanthis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
tropicamide related compound d usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
tsuruselpi s,"names a class or a group, not this page's substance (no variant of 'rescinnamine' and no UNII name for it)",0
turmerones,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
twice daily tacrolimus,"names a class or a group, not this page's substance (no variant of 'tacrolimus anhydrous' and no UNII name for it)",0
tynanthus panurensis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
type a polymers,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
typhoid vaccine antigens,ambiguous: 2 pages carry this name and they are not forms of one substance,0
uc mscs,"names a class or a group, not this page's substance (no variant of 'rildinadstrocel' and no UNII name for it)",0
uhac 62 xx 10 mg capsules,"names a class or a group, not this page's substance (no variant of 'meloxicam' and no UNII name for it)",0
uhac 62 xx 10 mg tablets,"names a class or a group, not this page's substance (no variant of 'meloxicam' and no UNII name for it)",0
ulex europaeus flos,"names a class or a group, not this page's substance (no variant of 'ulex europaeus flower' and no UNII name for it)",0
ultramicrosize griseofulvin tablets,"names a class or a group, not this page's substance (no variant of 'griseofulvin' and no UNII name for it)",0
ultrapure s,"names a class or a group, not this page's substance (no variant of 'stearyl alcohol' and no UNII name for it)",0
uncaria sinensis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
unicelles,"names a class or a group, not this page's substance (no variant of 'secbutabarbital' and no UNII name for it)",0
untreated platelets,"names a class or a group, not this page's substance (no variant of 'platelets' and no UNII name for it)",0
uridine usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
uritos,"names a class or a group, not this page's substance (no variant of 'imidafenacin' and no UNII name for it)",0
uterus drops,"names a class or a group, not this page's substance (no variant of 'sus scrofa uterus' and no UNII name for it)",0
vaccinia immunoglobulins,"names a class or a group, not this page's substance (no variant of 'human vaccinia virus immune globulin' and no UNII name for it)",0
vasopressin usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
velactis,"names a class or a group, not this page's substance (no variant of 'cabergoline' and no UNII name for it)",0
venarus,ambiguous: 2 pages carry this name and they are not forms of one substance,0
verzenios,"names a class or a group, not this page's substance (no variant of 'abemaciclib' and no UNII name for it)",0
vinblastini sulfas,"names a class or a group, not this page's substance (no variant of 'vinblastine' and no UNII name for it)",0
vincristini sulfas,"names a class or a group, not this page's substance (no variant of 'vincristine' and no UNII name for it)",0
virginiamycin factor s,"names a class or a group, not this page's substance (no variant of 'virginiamycin s1' and no UNII name for it)",0
vitamin b12 nos,"names a class or a group, not this page's substance (no variant of 'cyanocobalamin 57co' and no UNII name for it)",0
vitamin d drops,"names a class or a group, not this page's substance (no variant of 'ergocalciferol' and no UNII name for it)",0
vitamin d nos,"names a class or a group, not this page's substance (no variant of 'ergocalciferol' and no UNII name for it)",0
vitamin d tablets,"names a class or a group, not this page's substance (no variant of 'ergocalciferol' and no UNII name for it)",0
vitex agnus castus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
vrc01ls,"names a class or a group, not this page's substance (no variant of 'vrc 01ls' and no UNII name for it)",0
w 19053 as,"names a class or a group, not this page's substance (no variant of 'etidocaine' and no UNII name for it)",0
water for injections,"names a class or a group, not this page's substance (no variant of 'aqua' and no UNII name for it)",0
we 941 od tablets,"names a class or a group, not this page's substance (no variant of 'brotizolam' and no UNII name for it)",0
web 2086 bs,"names a class or a group, not this page's substance (no variant of 'apafant' and no UNII name for it)",0
welmate anti diarrheal loperamide hcl softgels,"names a class or a group, not this page's substance (no variant of 'loperamide mu opioid receptor' and no UNII name for it)",0
wharton jelly derived allogeneic mscs,"names a class or a group, not this page's substance (no variant of 'solizmestrocel' and no UNII name for it)",0
wheatgrass,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
wild type reovirus,"names a class or a group, not this page's substance (no variant of 'pelareorep' and no UNII name for it)",0
woolly grass,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
xanax xr tablets,"names a class or a group, not this page's substance (no variant of 'alprazolam' and no UNII name for it)",0
xanthophyls,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
xenon 127xe gas,"names a class or a group, not this page's substance (no variant of 'xenon xe 127' and no UNII name for it)",0
xenovis,"names a class or a group, not this page's substance (no variant of 'xenazoic acid' and no UNII name for it)",0
xyzal 5 mg tablets,"names a class or a group, not this page's substance (no variant of 'levocetirizine' and no UNII name for it)",0
ym 872 anhydrous,"names a class or a group, not this page's substance (no variant of 'zonampanel anhydrous' and no UNII name for it)",0
ym872 anhydrous,"names a class or a group, not this page's substance (no variant of 'zonampanel anhydrous' and no UNII name for it)",0
yohimbines,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
zactos,"names a class or a group, not this page's substance (no variant of 'pioglitazone' and no UNII name for it)",0
zalypsis,"names a class or a group, not this page's substance (no variant of 'pm 00104' and no UNII name for it)",0
zenas,"names a class or a group, not this page's substance (no variant of 'amifampridine' and no UNII name for it)",0
zestoretic 20 25 lisinopril hydrochlorothiazide tablets,"names a class or a group, not this page's substance (no variant of 'lisinopril anhydrous' and no UNII name for it)",0
zestril lisinopril 40 mg tablets,"names a class or a group, not this page's substance (no variant of 'lisinopril anhydrous' and no UNII name for it)",0
zidovudine related compound d rs,"names a class or a group, not this page's substance (no variant of 'doxribtimine' and no UNII name for it)",0
zinc as,ambiguous: 3 pages carry this name and they are not forms of one substance,0
zinc sulfate component of multrys,"names a class or a group, not this page's substance (no variant of 'zinc sulfate anhydrous unii 0j6z13x3wo' and no UNII name for it)",0
zinci acetas,"names a class or a group, not this page's substance (no variant of 'zinc acetate' and no UNII name for it)",0
zinci sulfas,"names a class or a group, not this page's substance (no variant of 'zinc sulfate anhydrous unii 0j6z13x3wo' and no UNII name for it)",0
zoloft 100 mg tablets,"names a class or a group, not this page's substance (no variant of 'sertraline' and no UNII name for it)",0
zoloft tablets,"names a class or a group, not this page's substance (no variant of 'sertraline' and no UNII name for it)",0
zyprexa zydis 5 mg tablets,"names a class or a group, not this page's substance (no variant of 'olanzapine' and no UNII name for it)",0
