page_a,page_b,why_unresolved,evidence
K1:IU5QR144QX,K2:GJUHUIXJLZINMA-MJCUULBUSA-N,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"{""a"": ""Estrogens, Conjugated"", ""b"": ""ESTROGEN"", ""inchikey_a"": ""VUCAHVBMSFIGAI-TWCWWGPMSA-M"", ""inchikey_b"": ""GJUHUIXJLZINMA-MJCUULBUSA-N"", ""origin"": ""unii:IU5QR144QX"", ""unii"": ""IU5QR144QX"", ""unii_source_a"": ""page-key"", ""unii_source_b"": ""page-field""}"
K1:JGK960078D,K1:TE7660XO1C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""FERROGLYCINE SULFATE"", ""b"": ""Glycine"", ""inchikey_child"": ""ZITFTYGHYGPDAV-UHFFFAOYSA-L"", ""inchikey_parent"": ""DHMQDGOQFOQNFH-UHFFFAOYSA-N"", ""name_child"": ""ferroglycine"", ""name_parent"": ""glycine"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_parent""}"
K1:JHC049LO86,K1:8SKN0B0MIM,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Benzoic Acid"", ""b"": ""Alogliptin"", ""inchikey_child"": ""ZSBOMTDTBDDKMP-OAHLLOKOSA-N"", ""inchikey_parent"": ""WPYMKLBDIGXBTP-UHFFFAOYSA-N"", ""name_child"": ""alogliptin"", ""name_parent"": ""benzoic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:K0U68Q2TXA,K1:L0378Q1565,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies","{""a"": ""Corticotropin"", ""b"": ""Corticotropin zinc hydroxide"", ""inchikey_a"": ""IDLFZVILOHSSID-OVLDLUHVSA-N"", ""inchikey_b"": null, ""normalised"": ""corticotropin"", ""origin"": ""name:corticotropin"", ""unii_a"": ""K0U68Q2TXA"", ""unii_b"": ""L0378Q1565""}"
K1:LZB1G2I725,K1:30KYC7MIAI,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Aspartic acid"", ""b"": ""Arginine Aspartate"", ""inchikey_child"": ""SUUWYOYAXFUOLX-ZBRNBAAYSA-N"", ""inchikey_parent"": ""CKLJMWTZIZZHCS-REOHCLBHSA-N"", ""name_child"": ""arginine"", ""name_parent"": ""aspartic acid"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:M0KG633D4F,K1:T2I5UM75DN,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Sodium Nitrite"", ""b"": ""Nitrous Acid"", ""gsrs_relationship"": null, ""inchikey_a"": ""LPXPTNMVRIOKMN-UHFFFAOYSA-M"", ""inchikey_b"": ""IOVCWXUNBOPUCH-UHFFFAOYSA-N"", ""name_a"": ""sodium nitrite"", ""name_b"": ""nitrous acid"", ""origin"": ""suspected-nominal:nitrite"", ""unii_a"": ""M0KG633D4F"", ""unii_b"": ""T2I5UM75DN""}"
K1:M4F288ZCTR,K1:ZZ45AB24CA,same normalised name and no structure on either page; the identity rules give no evidence that decides them,"{""a"": ""HEPARIN CALCIUM"", ""b"": ""Heparin sodium"", ""class_a"": ""polymer"", ""class_b"": ""polymer"", ""normalised"": ""heparin"", ""origin"": ""suspected-nominal:heparin"", ""unii_a"": ""M4F288ZCTR"", ""unii_b"": ""ZZ45AB24CA""}"
K1:M4F288ZCTR,K2:ZFGMDIBRIDKWMY-PASTXAENSA-N,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""HEPARIN CALCIUM"", ""b"": ""SODIUM HEPARIN"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": ""ZFGMDIBRIDKWMY-PASTXAENSA-N"", ""name_a"": ""heparin"", ""name_b"": ""sodium heparin"", ""origin"": ""suspected-nominal:heparin"", ""unii_a"": ""M4F288ZCTR"", ""unii_b"": ""ZZ45AB24CA""}"
K1:MA10QYF1Z0,K1:3A9RD92BS4,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Maltol"", ""b"": ""Ferric maltol"", ""inchikey_child"": ""AHPWLYJHTFAWKI-UHFFFAOYSA-K"", ""inchikey_parent"": ""XPCTZQVDEJYUGT-UHFFFAOYSA-N"", ""name_child"": ""ferric maltol"", ""name_parent"": ""maltol"", ""origin"": ""suspected-nominal:ferric maltol"", ""relationship"": ""target_is_salt""}"
K1:MQG94M5EEO,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:MQG94M5EEO"", ""K1:LGW5H38VE3""], ""origin"": ""suspected-nominal:tesamorelin""}"
K1:MQG94M5EEO,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:MQG94M5EEO"", ""K1:LGW5H38VE3""], ""origin"": ""slug-collision:tesamorelin""}"
K1:MU72812GK0,K4:creatine gluconate,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies","{""a"": ""Creatine"", ""b"": ""Creatine Gluconate"", ""inchikey_a"": ""CVSVTCORWBXHQV-UHFFFAOYSA-N"", ""inchikey_b"": null, ""normalised"": ""creatine"", ""origin"": ""name:creatine"", ""unii_a"": ""MU72812GK0"", ""unii_b"": null}"
K1:NPT6P8P3UU,,"two pages collide on a display name and nothing recorded for them - substance class, primary target, stereo descriptor, UNII or structure - tells one from the other","{""displayName"": ""Potassium Bitartrate"", ""normalised"": ""potassium""}"
K1:NPT6P8P3UU,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Potassium Bitartrate"", ""b"": ""TARTARIC ACID"", ""inchikey_child"": ""KYKNRZGSIGMXFH-ZVGUSBNCSA-M"", ""inchikey_parent"": ""FEWJPZIEWOKRBE-JCYAYHJZSA-N"", ""name_child"": ""potassium"", ""name_parent"": ""tartaric acid"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_parent""}"
K1:QX10HYY4QV,K4:sesame,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Sesame Oil"", ""b"": ""Sesame"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""sesame oil"", ""name_b"": ""sesame"", ""origin"": ""suspected-nominal:sesame"", ""unii_a"": ""QX10HYY4QV"", ""unii_b"": null}"
K1:R1B526117P,K1:94ZLA3W45F,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Arginine"", ""b"": ""HEME ARGINATE"", ""inchikey_child"": ""HQBGGOLLNATNQC-INZIHYEWSA-N"", ""inchikey_parent"": ""ODKSFYDXXFIFQN-BYPYZUCNSA-N"", ""name_child"": ""heme arginate"", ""name_parent"": ""arginine"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:RU45X2JN0Z,,"two pages collide on a display name and nothing recorded for them - substance class, primary target, stereo descriptor, UNII or structure - tells one from the other","{""displayName"": ""Potassium Nitrate"", ""normalised"": ""potassium""}"
K1:S71T8B8Z6P,K1:QZV2W997JQ,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Picolinic Acid"", ""b"": ""CHROMIUM PICOLINATE"", ""inchikey_child"": ""CBDQOLKNTOMMTL-UHFFFAOYSA-K"", ""inchikey_parent"": ""SIOXPEMLGUPBBT-UHFFFAOYSA-N"", ""name_child"": ""chromium picolinate"", ""name_parent"": ""picolinic acid"", ""origin"": ""suspected-nominal:chromium picolinate"", ""relationship"": ""target_is_salt""}"
K1:SFW1D987QV,K1:TE7660XO1C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""FERROUS BISGLYCINATE"", ""b"": ""Glycine"", ""inchikey_child"": ""GIPOFCXYHMWROH-UHFFFAOYSA-L"", ""inchikey_parent"": ""DHMQDGOQFOQNFH-UHFFFAOYSA-N"", ""name_child"": ""ferrous bisglycinate"", ""name_parent"": ""glycine"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_parent""}"
K1:SOI2LOH54Z,K1:13S1S8SF37,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Zinc Cation"", ""b"": ""Zinc Oxide"", ""inchikey_child"": ""RNWHGQJWIACOKP-UHFFFAOYSA-N"", ""inchikey_parent"": ""PTFCDOFLOPIGGS-UHFFFAOYSA-N"", ""name_child"": ""zinc"", ""name_parent"": ""zinc cation"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:SY7Q814VUP,K1:UV63W89SJM,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""CALCIUM"", ""b"": ""(ACETATO-O)(DODECANOATO-O)CALCIUM"", ""gsrs_relationship"": null, ""inchikey_a"": ""OYPRJOBELJOOCE-UHFFFAOYSA-N"", ""inchikey_b"": ""CEDZQZMHCQUTSS-UHFFFAOYSA-L"", ""name_a"": ""calcium"", ""name_b"": ""acetato o dodecanoato o"", ""origin"": ""slug-collision:calcium"", ""unii_a"": ""SY7Q814VUP"", ""unii_b"": ""UV63W89SJM""}"
K1:SY7Q814VUP,UNKEYED:existing:calcium-potassium-phosphate-citrate,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies","{""a"": ""CALCIUM"", ""b"": ""Calcium Potassium Phosphate Citrate"", ""inchikey_a"": ""OYPRJOBELJOOCE-UHFFFAOYSA-N"", ""inchikey_b"": null, ""normalised"": ""calcium"", ""origin"": ""name:calcium"", ""unii_a"": ""SY7Q814VUP"", ""unii_b"": null}"
K1:SZB83O1W42,K1:94ZLA3W45F,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Arginine"", ""b"": ""Pidolic acid"", ""inchikey_child"": ""ODHCTXKNWHHXJC-VKHMYHEASA-N"", ""inchikey_parent"": ""ODKSFYDXXFIFQN-BYPYZUCNSA-N"", ""name_child"": ""pidolic acid"", ""name_parent"": ""arginine"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:TLE294X33A,K1:2WTB3V159F,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Hydrogen Cyanide"", ""b"": ""PRUSSIAN BLUE INSOLUBLE"", ""inchikey_child"": ""DCYOBGZUOMKFPA-UHFFFAOYSA-N"", ""inchikey_parent"": ""LELOWRISYMNNSU-UHFFFAOYSA-N"", ""name_child"": ""prussian blue insoluble"", ""name_parent"": ""hydrogen cyanide"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:TW371I5GLO,K1:N91BDP6H0X,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Choline"", ""b"": ""Salcolex"", ""inchikey_child"": ""GQVWFGYYMWLERN-UHFFFAOYSA-J"", ""inchikey_parent"": ""OEYIOHPDSNJKLS-UHFFFAOYSA-N"", ""name_child"": ""salcolex"", ""name_parent"": ""choline"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:U6WSN5SQ1Z,K1:R4R8J0Q44B,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Gluconic Acid"", ""b"": ""Zinc Gluconate"", ""inchikey_child"": ""WHMDKBIGKVEYHS-IYEMJOQQSA-L"", ""inchikey_parent"": ""RGHNJXZEOKUKBD-SQOUGZDYSA-N"", ""name_child"": ""zinc"", ""name_parent"": ""gluconic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:UOW2C71PG5,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:UPC6BTX7PY"", ""K1:UOW2C71PG5""], ""origin"": ""suspected-nominal:inclisiran""}"
K1:UOW2C71PG5,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:UPC6BTX7PY"", ""K1:UOW2C71PG5""], ""origin"": ""slug-collision:inclisiran""}"
K1:WYQ7N0BPYC,K1:K3Z4F929H6,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Lysine"", ""b"": ""Acetylcysteine"", ""inchikey_child"": ""PWKSKIMOESPYIA-BYPYZUCNSA-N"", ""inchikey_parent"": ""KDXKERNSBIXSRK-YFKPBYRVSA-N"", ""name_child"": ""acetylcysteine"", ""name_parent"": ""lysine"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:YKH834O4BH,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""TARTARIC ACID"", ""b"": ""Epinephrine"", ""inchikey_child"": ""UCTWMZQNUQWSLP-VIFPVBQESA-N"", ""inchikey_parent"": ""FEWJPZIEWOKRBE-JCYAYHJZSA-N"", ""name_child"": ""epinephrine"", ""name_parent"": ""tartaric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:YSE9PPT4TH,K1:B7SG5YV2SI,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""HYALURONIC ACID (NON-ANIMAL STABILIZED)"", ""b"": ""Sodium Hyaluronate"", ""inchikey_child"": null, ""inchikey_parent"": null, ""name_child"": ""sodium hyaluronate"", ""name_parent"": ""hyaluronic acid non animal stabilized"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K2:MSWZFWKMSRAUBD-IVMDWMLBSA-N,K4:glucosamine,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies","{""a"": ""Glucosamine"", ""b"": ""Glucosamine Potassium Sulfate"", ""inchikey_a"": ""MSWZFWKMSRAUBD-IVMDWMLBSA-N"", ""inchikey_b"": null, ""normalised"": ""glucosamine"", ""origin"": ""suspected-nominal:glucosamine"", ""unii_a"": null, ""unii_b"": null}"
K2:OAEOAAHCJGWJIC-CEVJMMQXSA-N,K4:chondroitin,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies","{""a"": ""CHONDROITIN SULFATE"", ""b"": ""Chondroitin"", ""inchikey_a"": ""OAEOAAHCJGWJIC-CEVJMMQXSA-N"", ""inchikey_b"": null, ""normalised"": ""chondroitin"", ""origin"": ""name:chondroitin"", ""unii_a"": ""6IC1M3OG5Z"", ""unii_b"": null}"
K2:ODQWQRRAPPTVAG-UHFFFAOYSA-N,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K2:ODQWQRRAPPTVAG-UHFFFAOYSA-N"", ""K1:3U9A0FE9N5""], ""origin"": ""suspected-nominal:doxepin""}"
K2:OGBMKVWORPGQRR-UMXFMPSGSA-N,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K2:OGBMKVWORPGQRR-UMXFMPSGSA-N"", ""K1:9959P4V12N""], ""origin"": ""suspected-nominal:teriparatide""}"
K2:WNBILILJFBJQFP-SDLVTCPTSA-N,K1:RWM8CCW8GP,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Octreotide"", ""b"": ""SANDOSTATIN"", ""inchikey_child"": ""WNBILILJFBJQFP-SDLVTCPTSA-N"", ""inchikey_parent"": ""DEQANNDTNATYII-OULOTJBUSA-N"", ""name_child"": ""sandostatin"", ""name_parent"": ""octreotide"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:59D8RAT1F9,K1:6UKA5VEJ6X,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""3-(1-PIPERAZINYL)-1,2-BENZISOTHIAZOLE"", ""b"": ""Ziprasidone"", ""gsrs_relationship"": null, ""inchikey_a"": ""KRDOFMHJLWKXIU-UHFFFAOYSA-N"", ""inchikey_b"": ""MVWVFYHBGMAFLY-UHFFFAOYSA-N"", ""name_a"": ""3 1 piperazinyl 1 2 benzisothiazole"", ""name_b"": ""ziprasidone"", ""origin"": ""suspected-nominal:ziprasidone"", ""unii_a"": ""59D8RAT1F9"", ""unii_b"": ""6UKA5VEJ6X""}"
K1:R60L0SM5BC,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""MALEIC ACID"", ""b"": ""Midazolam"", ""inchikey_child"": ""DDLIGBOFAVUZHB-UHFFFAOYSA-N"", ""inchikey_parent"": ""VZCYOOQTPOCHFL-UPHRSURJSA-N"", ""name_child"": ""midazolam"", ""name_parent"": ""maleic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:S56D65XJ9G,K1:5KV86114PT,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Ethanolamine"", ""b"": ""Eltrombopag"", ""inchikey_child"": ""XDXWLKQMMKQXPV-QYQHSDTDSA-N"", ""inchikey_parent"": ""HZAXFHJVJLSVMW-UHFFFAOYSA-N"", ""name_child"": ""eltrombopag"", ""name_parent"": ""ethanolamine"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
"COMBO:{K1:17ERJ0MKGI,K1:80M03YXJ7I}","COMBO:{K1:1J444QC288,K1:80M03YXJ7I}","two combination records share an identifier but not their component sets; §3.7 keys a combination by its components, so they are different products unless a component merge makes the sets equal","{""components_a"": [""K1:17ERJ0MKGI"", ""K1:80M03YXJ7I""], ""components_b"": [""K1:1J444QC288"", ""K1:80M03YXJ7I""], ""origin"": ""gsrs:target_is_active_moiety""}"
"COMBO:{K1:25X51I8RD4,K1:PQ6CK8PD0R}","COMBO:{K1:7A314HQM0I,K1:PQ6CK8PD0R}","two combination records share an identifier but not their component sets; §3.7 keys a combination by its components, so they are different products unless a component merge makes the sets equal","{""components_a"": [""K1:25X51I8RD4"", ""K1:PQ6CK8PD0R""], ""components_b"": [""K1:7A314HQM0I"", ""K1:PQ6CK8PD0R""], ""origin"": ""gsrs:target_is_salt""}"
"COMBO:{K1:8558G7RUTR,K1:MU72812GK0}","COMBO:{K1:8ID597Z82X,K1:MU72812GK0}","two combination records share an identifier but not their component sets; §3.7 keys a combination by its components, so they are different products unless a component merge makes the sets equal","{""components_a"": [""K1:8558G7RUTR"", ""K1:MU72812GK0""], ""components_b"": [""K1:8ID597Z82X"", ""K1:MU72812GK0""], ""origin"": ""gsrs:target_is_salt""}"
HOLD:existing:boldenone,K1:5H7I2IP58X,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"{""a"": ""Boldenone"", ""b"": ""Boldenone"", ""inchikey_a"": ""AHMMSNQYOPMLSX-CNQKSJKFSA-N"", ""inchikey_b"": ""RSIHSRDYCUFFLA-DYKIIFRCSA-N"", ""origin"": ""unii:5H7I2IP58X"", ""unii"": ""5H7I2IP58X"", ""unii_source_a"": ""page-field"", ""unii_source_b"": ""page-key""}"
HOLD:existing:dextroamphetamine-saccharate,K1:QLZ991V4A2,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Dextroamphetamine Saccharate"", ""b"": ""Glucaric Acid"", ""inchikey_child"": ""KWTSXDURSIMDCE-QMMMGPOBSA-N"", ""inchikey_parent"": ""DSLZVSRJTYRBFB-LLEIAEIESA-N"", ""name_child"": ""dextroamphetamine"", ""name_parent"": ""glucaric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
HOLD:existing:dromostanolone,K1:7DR7H00HDT,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"{""a"": ""Dromostanolone"", ""b"": ""DROMOSTANOLONE"", ""inchikey_a"": ""NOTIQUSPUUHHEH-UXOVVSIBSA-N"", ""inchikey_b"": ""IKXILDNPCZPPRV-RFMGOVQKSA-N"", ""origin"": ""suspected-nominal:dromostanolone"", ""unii"": ""7DR7H00HDT"", ""unii_source_a"": ""page-field"", ""unii_source_b"": ""page-key""}"
HOLD:existing:halobetasol,K1:9P6159HM7T,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"{""a"": ""Halobetasol"", ""b"": ""HALOBETASOL"", ""inchikey_a"": ""BDSYKGHYMJNPAB-LICBFIPMSA-N"", ""inchikey_b"": ""LEHFPXVYPMWYQD-XHIJKXOTSA-N"", ""origin"": ""suspected-nominal:halobetasol"", ""unii"": ""9P6159HM7T"", ""unii_source_a"": ""page-field"", ""unii_source_b"": ""page-key""}"
HOLD:existing:paramethasone,K1:VFC6ZX3584,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"{""a"": ""Paramethasone"", ""b"": ""PARAMETHASONE"", ""inchikey_a"": ""HYRKAAMZBDSJFJ-LFDBJOOHSA-N"", ""inchikey_b"": ""MKPDWECBUAZOHP-AFYJWTTESA-N"", ""origin"": ""suspected-nominal:paramethasone"", ""unii"": ""VFC6ZX3584"", ""unii_source_a"": ""page-field"", ""unii_source_b"": ""page-key""}"
HOLD:existing:plicamycin,K1:NIJ123W41V,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"{""a"": ""Plicamycin"", ""b"": ""Plicamycin"", ""inchikey_a"": ""XDKMHMINQXATOR-RCFLUEAHSA-N"", ""inchikey_b"": ""CFCUWKMKBJTWLW-BKHRDMLASA-N"", ""origin"": ""unii:NIJ123W41V"", ""unii"": ""NIJ123W41V"", ""unii_source_a"": ""page-field"", ""unii_source_b"": ""page-key""}"
HOLD:existing:sodium-succinate,K1:P699N4QOWE,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,"{""component"": [""HOLD:existing:sodium-succinate"", ""K1:AB6MNQ6J6L"", ""K1:P699N4QOWE""]}"
